# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
9300.0 1000 0.002 0.314 0.018 0.497 0.002015 0.001976 0.001995 2.113e+04 5.299e+04 3.706e+04 1.609 -2.154 -0.2728 4.009e+05
9400.0 1000 0.002 0.312 0.018 0.499 0.002015 0.001976 0.001995 2.081e+04 5.342e+04 3.712e+04 1.592 -2.165 -0.2866 4.009e+05
9500.0 1000 0.002 0.309 0.018 0.501 0.002015 0.001976 0.001995 2.049e+04 5.386e+04 3.717e+04 1.574 -2.175 -0.3005 4.009e+05
9600.0 1000 0.002 0.307 0.018 0.503 0.002015 0.001976 0.001995 2.018e+04 5.429e+04 3.724e+04 1.557 -2.186 -0.3143 4.009e+05
9700.0 1000 0.002 0.305 0.018 0.505 0.002015 0.001976 0.001995 1.987e+04 5.473e+04 3.73e+04 1.54 -2.197 -0.3281 4.009e+05
9800.0 1000 0.002 0.302 0.018 0.507 0.002015 0.001976 0.001995 1.956e+04 5.517e+04 3.737e+04 1.523 -2.207 -0.342 4.009e+05
9900.0 1000 0.002 0.300 0.018 0.509 0.002015 0.001976 0.001995 1.926e+04 5.561e+04 3.744e+04 1.506 -2.218 -0.3558 4.009e+05
10000.0 1000 0.002 0.297 0.018 0.512 0.002015 0.001976 0.001995 1.896e+04 5.606e+04 3.751e+04 1.489 -2.228 -0.3697 4.009e+05
10100.0 1000 0.002 0.295 0.018 0.514 0.002015 0.001976 0.001995 1.866e+04 5.65e+04 3.758e+04 1.472 -2.239 -0.3835 4.009e+05
10200.0 1000 0.002 0.293 0.018 0.516 0.002015 0.001976 0.001995 1.837e+04 5.695e+04 3.766e+04 1.455 -2.25 -0.3974 4.009e+05
10300.0 1000 0.002 0.291 0.018 0.518 0.002015 0.001976 0.001995 1.808e+04 5.74e+04 3.774e+04 1.438 -2.26 -0.4112 4.009e+05
10400.0 1000 0.002 0.288 0.018 0.520 0.002015 0.001976 0.001995 1.78e+04 5.786e+04 3.783e+04 1.421 -2.271 -0.425 4.009e+05
10500.0 1000 0.001 0.286 0.019 0.522 0.002015 0.001976 0.001995 1.751e+04 5.831e+04 3.791e+04 1.404 -2.281 -0.4389 4.009e+05
10600.0 1000 0.001 0.284 0.019 0.524 0.002015 0.001976 0.001995 1.724e+04 5.877e+04 3.8e+04 1.387 -2.292 -0.4527 4.009e+05
10700.0 1000 0.001 0.281 0.019 0.526 0.002015 0.001976 0.001995 1.696e+04 5.923e+04 3.809e+04 1.37 -2.303 -0.4666 4.009e+05
10800.0 1000 0.001 0.279 0.019 0.528 0.002015 0.001976 0.001995 1.669e+04 5.969e+04 3.819e+04 1.352 -2.313 -0.4804 4.009e+05
